location,sex,population2010,meanpopulation,population2011
Nazaré,HM,15174,15144,15114
Nazaré,H,7247,7219,7191
Nazaré,M,7927,7925,7923
Óbidos,HM,11778,11753,11728
Óbidos,H,5731,5713,5694
Óbidos,M,6047,6041,6034
Peniche,HM,27800,27718,27635
Peniche,H,13481,13422,13363
Peniche,M,14319,14296,14272
Sobral de Monte Agraço,HM,10166,10128,10089
Sobral de Monte Agraço,H,5006,4977,4948
Sobral de Monte Agraço,M,5160,5151,5141
Torres Vedras,HM,79526,79451,79376
Torres Vedras,H,38412,38354,38295
Torres Vedras,M,41114,41098,41081
Médio Tejo,HM,221030,220386,219742
Médio Tejo,H,105418,105009,104600
Médio Tejo,M,115612,115377,115142
Abrantes,HM,39432,39251,39069
Abrantes,H,19001,18901,18801
Abrantes,M,20431,20350,20268
Alcanena,HM,13884,13843,13802
Alcanena,H,6699,6667,6635
Alcanena,M,7185,7176,7167
Constância,HM,4056,4056,4056
Constância,H,1945,1945,1945
Constância,M,2111,2111,2111
Entroncamento,HM,20200,20212,20224
Entroncamento,H,9629,9622,9615
Entroncamento,M,10571,10590,10609
Ferreira do Zêzere,HM,8635,8592,8548
Ferreira do Zêzere,H,4097,4070,4042
Ferreira do Zêzere,M,4538,4522,4506
Ourém,HM,46005,45918,45830
Ourém,H,21697,21632,21566
Ourém,M,24308,24286,24264
Sardoal,HM,3945,3937,3929
Sardoal,H,1922,1920,1917
Sardoal,M,2023,2018,2012
Tomar,HM,40760,40589,40418
Tomar,H,19317,19223,19128
Tomar,M,21443,21367,21290
Torres Novas,HM,36791,36675,36558
Torres Novas,H,17548,17477,17405
Torres Novas,M,19243,19198,19153
Vila Nova da Barquinha,HM,7322,7315,7308
Vila Nova da Barquinha,H,3563,3555,3546
Vila Nova da Barquinha,M,3759,3761,3762
Lisboa,HM,2823025,2823412,2823798
Lisboa,H,1336258,1335540,1334822
Lisboa,M,1486767,1487872,1488976
Grande Lisboa,HM,2042950,2043793,2044636
Grande Lisboa,H,962096,961929,961762
Grande Lisboa,M,1080854,1081864,1082874
Amadora,HM,175126,175220,175314
Amadora,H,82406,82348,82289
Amadora,M,92720,92873,93025
