"","lat","lon"
"1118",34,-4.375
"1119",34.5,-4.375
"1120",35,-4.375
"1121",35.5,-4.375
"1122",36,-4.375
"1123",36.5,-4.375
"1124",37,-4.375
"1125",37.5,-4.375
"1126",38,-4.375
"1127",38.5,-4.375
"1128",39,-4.375
"1129",39.5,-4.375
"1130",40,-4.375
"1131",40.5,-4.375
"1132",41,-4.375
"1133",41.5,-4.375
"1134",42,-4.375
"1135",42.5,-4.375
"1136",43,-4.375
"1137",43.5,-4.375
"1138",44,-4.375
"1139",44.5,-4.375
"1140",45,-4.375
"1141",45.5,-4.375
"1142",46,-4.375
"1143",46.5,-4.375
"1144",47,-4.375
"1145",25.5,-3.75
"1146",26,-3.75
"1147",26.5,-3.75
"1148",27,-3.75
"1149",27.5,-3.75
"1150",28,-3.75
"1151",28.5,-3.75
"1152",29,-3.75
"1153",29.5,-3.75
"1154",30,-3.75
"1155",30.5,-3.75
"1156",31,-3.75
"1157",31.5,-3.75
"1158",32,-3.75
"1159",32.5,-3.75
"1160",33,-3.75
"1161",33.5,-3.75
"1162",34,-3.75
"1163",34.5,-3.75
"1164",35,-3.75
"1165",35.5,-3.75
"1166",36,-3.75
"1167",36.5,-3.75
"1168",37,-3.75
"1169",37.5,-3.75
"1170",38,-3.75
"1171",38.5,-3.75
"1172",39,-3.75
"1173",39.5,-3.75
"1174",40,-3.75
"1175",40.5,-3.75
"1176",41,-3.75
"1177",41.5,-3.75
"1178",42,-3.75
"1179",42.5,-3.75
"1180",43,-3.75
"1181",43.5,-3.75
"1182",44,-3.75
"1183",44.5,-3.75
"1184",45,-3.75
"1185",45.5,-3.75
"1186",46,-3.75
"1187",46.5,-3.75
"1188",47,-3.75
"1189",25.5,-3.125
"1190",26,-3.125
"1191",26.5,-3.125
"1192",27,-3.125
"1193",27.5,-3.125
"1194",28,-3.125
"1195",28.5,-3.125
"1196",29,-3.125
"1197",29.5,-3.125
"1198",30,-3.125
"1199",30.5,-3.125
"1200",31,-3.125
"1201",31.5,-3.125
"1202",32,-3.125
"1203",32.5,-3.125
"1204",33,-3.125
"1205",33.5,-3.125
"1206",34,-3.125
"1207",34.5,-3.125
"1208",35,-3.125
"1209",35.5,-3.125
"1210",36,-3.125
"1211",36.5,-3.125
"1212",37,-3.125
"1213",37.5,-3.125
"1214",38,-3.125
"1215",38.5,-3.125
"1216",39,-3.125
"1217",39.5,-3.125
"1218",40,-3.125
"1219",40.5,-3.125
"1220",41,-3.125
"1221",41.5,-3.125
"1222",42,-3.125
"1223",42.5,-3.125
"1224",43,-3.125
"1225",43.5,-3.125
"1226",44,-3.125
"1227",44.5,-3.125
"1228",45,-3.125
"1229",45.5,-3.125
"1230",46,-3.125
"1231",46.5,-3.125
"1232",47,-3.125
"1233",25.5,-2.5
"1234",26,-2.5
"1235",26.5,-2.5
"1236",27,-2.5
"1237",27.5,-2.5
"1238",28,-2.5
"1239",28.5,-2.5
"1240",29,-2.5
"1241",29.5,-2.5
"1242",30,-2.5
"1243",30.5,-2.5
"1244",31,-2.5
"1245",31.5,-2.5
"1246",32,-2.5
"1247",32.5,-2.5
"1248",33,-2.5
"1249",33.5,-2.5
"1250",34,-2.5
"1251",34.5,-2.5
"1252",35,-2.5
"1253",35.5,-2.5
"1254",36,-2.5
"1255",36.5,-2.5
"1256",37,-2.5
"1257",37.5,-2.5
"1258",38,-2.5
"1259",38.5,-2.5
"1260",39,-2.5
"1261",39.5,-2.5
"1262",40,-2.5
"1263",40.5,-2.5
"1264",41,-2.5
"1265",41.5,-2.5
"1266",42,-2.5
"1267",42.5,-2.5
"1268",43,-2.5
"1269",43.5,-2.5
"1270",44,-2.5
"1271",44.5,-2.5
"1272",45,-2.5
"1273",45.5,-2.5
"1274",46,-2.5
"1275",46.5,-2.5
